


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

  167 0.5012E-01 0.6743E-01
  168 0.5341E-01 0.7282E-01
  169 0.5178E-01 0.7155E-01
  170 0.4562E-01 0.6391E-01
  171 0.3669E-01 0.5210E-01
  172 0.3600E-01 0.5145E-01
  173 0.4363E-01 0.6318E-01
  174 0.4837E-01 0.7101E-01
  175 0.4872E-01 0.7253E-01
  176 0.4445E-01 0.6710E-01
  177 0.3681E-01 0.5637E-01
  178 0.3036E-01 0.4686E-01
  179 0.3762E-01 0.5881E-01
  180 0.4240E-01 0.6717E-01
  181 0.4337E-01 0.6966E-01
  182 0.4010E-01 0.6533E-01
  183 0.3353E-01 0.5542E-01
  184 0.2544E-01 0.4268E-01
  185 0.2811E-01 0.4757E-01
  186 0.3184E-01 0.5458E-01
  187 0.3228E-01 0.5610E-01
  188 0.2914E-01 0.5137E-01
  189 0.2343E-01 0.4192E-01
  190 0.1688E-01 0.3065E-01
  191 0.1353E-01 0.2483E-01
  192 0.1360E-01 0.2530E-01
  193 0.1175E-01 0.2216E-01
  194 0.8746E-02 0.1674E-01
  195 0.5697E-02 0.1107E-01
  196 0.5424E-02 0.7928E-02
  197 0.5247E-02 0.7420E-02
  198 0.4517E-02 0.6085E-02
  199 0.3460E-02 0.5186E-02
  200 0.2492E-02 0.4894E-02
  201 0.2065E-02 0.4125E-02
  202 0.1950E-02 0.3821E-02
  203 0.1787E-02 0.3563E-02
  204 0.1535E-02 0.3010E-02
  205 0.1508E-02 0.3001E-02
  206 0.1352E-02 0.2739E-02
  207 0.1269E-02 0.2523E-02
  208 0.1205E-02 0.2438E-02
  209 0.1075E-02 0.2171E-02
  210 0.1067E-02 0.2157E-02
  211 0.9804E-03 0.2018E-02
  212 0.9449E-03 0.1910E-02
  213 0.9032E-03 0.1858E-02
  214 0.8402E-03 0.1698E-02
  215 0.8290E-03 0.1705E-02
  216 0.7658E-03 0.1603E-02
  217 0.7603E-03 0.1564E-02
  218 0.7238E-03 0.1515E-02
  219 0.6976E-03 0.1435E-02
  220 0.6814E-03 0.1426E-02
  221 0.6410E-03 0.1337E-02
  222 0.6400E-03 0.1340E-02
  223 0.6044E-03 0.1288E-02
  224 0.6004E-03 0.1257E-02
  225 0.5795E-03 0.1235E-02
  226 0.5628E-03 0.1179E-02
  227 0.5538E-03 0.1180E-02
  228 0.5275E-03 0.1123E-02
  229 0.5279E-03 0.1125E-02
  230 0.5032E-03 0.1091E-02
  231 0.5024E-03 0.1071E-02
  232 0.4872E-03 0.1057E-02
  233 0.4775E-03 0.1018E-02
  234 0.4703E-03 0.1020E-02
  235 0.4534E-03 0.9769E-03
  236 0.4529E-03 0.9827E-03
  237 0.4330E-03 0.9560E-03
  238 0.4354E-03 0.9447E-03
  239 0.4223E-03 0.9324E-03
  240 0.4178E-03 0.9068E-03
  241 0.4107E-03 0.9069E-03
  242 0.4005E-03 0.8702E-03
  243 0.3985E-03 0.8801E-03
  244 0.3834E-03 0.8560E-03
  245 0.3859E-03 0.8523E-03
  246 0.3735E-03 0.8395E-03
  247 0.3731E-03 0.8240E-03
  248 0.3654E-03 0.8212E-03
  249 0.3601E-03 0.7981E-03
  250 0.3566E-03 0.8015E-03
  251 0.3472E-03 0.7924E-03
  252 0.3473E-03 0.7893E-03
  253 0.3350E-03 0.7860E-03
  254 0.3377E-03 0.7826E-03
  255 0.3292E-03 0.7790E-03
  256 0.3279E-03 0.7753E-03
  257 0.3228E-03 0.7714E-03
  258 0.3179E-03 0.7674E-03
  259 0.3159E-03 0.7633E-03
  260 0.3078E-03 0.7598E-03
  261 0.3086E-03 0.7572E-03
  262 0.2994E-03 0.7545E-03
  263 0.3011E-03 0.7516E-03
  264 0.2947E-03 0.7486E-03
  265 0.2933E-03 0.7455E-03
  266 0.2896E-03 0.7422E-03
  267 0.2854E-03 0.7387E-03
  268 0.2841E-03 0.7352E-03
  269 0.2774E-03 0.7315E-03
  270 0.2783E-03 0.7277E-03
  271 0.2713E-03 0.7244E-03
  272 0.2722E-03 0.7220E-03
  273 0.2670E-03 0.7195E-03
  274 0.2659E-03 0.7169E-03
  275 0.2629E-03 0.7141E-03
  276 0.2595E-03 0.7112E-03
  277 0.2584E-03 0.7082E-03
  278 0.2534E-03 0.7051E-03
  279 0.2537E-03 0.7018E-03
  280 0.2489E-03 0.6985E-03
  281 0.2487E-03 0.6950E-03
  282 0.2443E-03 0.6916E-03
  283 0.2436E-03 0.6894E-03
  284 0.2409E-03 0.6871E-03
  285 0.2384E-03 0.6847E-03
  286 0.2372E-03 0.6822E-03
  287 0.2337E-03 0.6796E-03
  288 0.2334E-03 0.6769E-03
  289 0.2299E-03 0.6741E-03
  290 0.2293E-03 0.6711E-03
  291 0.2260E-03 0.6681E-03
  292 0.2251E-03 0.6650E-03
  293 0.2225E-03 0.6618E-03
  294 0.2208E-03 0.6595E-03
  295 0.2195E-03 0.6574E-03
  296 0.2170E-03 0.6553E-03
  297 0.2163E-03 0.6530E-03
  298 0.2138E-03 0.6507E-03
  299 0.2130E-03 0.6482E-03
  300 0.2105E-03 0.6457E-03
  301 0.2095E-03 0.6431E-03
  302 0.2071E-03 0.6404E-03
  303 0.2059E-03 0.6376E-03
  304 0.2046E-03 0.6348E-03
  305 0.2027E-03 0.6323E-03
  306 0.2020E-03 0.6304E-03
  307 0.2000E-03 0.6286E-03
  308 0.1992E-03 0.6266E-03
  309 0.1973E-03 0.6245E-03
  310 0.1963E-03 0.6224E-03
  311 0.1944E-03 0.6201E-03
  312 0.1933E-03 0.6178E-03
  313 0.1920E-03 0.6154E-03
  314 0.1905E-03 0.6129E-03
  315 0.1898E-03 0.6104E-03
  316 0.1883E-03 0.6080E-03
  317 0.1875E-03 0.6065E-03
  318 0.1860E-03 0.6048E-03
  319 0.1851E-03 0.6031E-03
  320 0.1836E-03 0.6012E-03
  321 0.1826E-03 0.5993E-03
  322 0.1814E-03 0.5974E-03
  323 0.1803E-03 0.5953E-03
  324 0.1796E-03 0.5932E-03
  325 0.1784E-03 0.5910E-03
  326 0.1777E-03 0.5887E-03
  327 0.1765E-03 0.5868E-03
  328 0.1756E-03 0.5854E-03
  329 0.1744E-03 0.5839E-03
  330 0.1735E-03 0.5824E-03
  331 0.1727E-03 0.5808E-03
  332 0.1718E-03 0.5791E-03
  333 0.1712E-03 0.5773E-03
  334 0.1703E-03 0.5754E-03
  335 0.1696E-03 0.5735E-03
  336 0.1686E-03 0.5715E-03
  337 0.1679E-03 0.5694E-03
  338 0.1671E-03 0.5682E-03
  339 0.1664E-03 0.5669E-03
  340 0.1659E-03 0.5655E-03
  341 0.1651E-03 0.5641E-03
  342 0.1646E-03 0.5626E-03
  343 0.1638E-03 0.5610E-03
  344 0.1634E-03 0.5594E-03
  345 0.1633E-03 0.5576E-03
  346 0.1633E-03 0.5558E-03
  347 0.1632E-03 0.5539E-03
  348 0.1631E-03 0.5526E-03
  349 0.1630E-03 0.5514E-03
  350 0.1630E-03 0.5502E-03
  351 0.1630E-03 0.5488E-03
  352 0.1630E-03 0.5474E-03
  353 0.1629E-03 0.5459E-03
  354 0.1628E-03 0.5443E-03
  355 0.1627E-03 0.5427E-03
  356 0.1626E-03 0.5410E-03
  357 0.1626E-03 0.5392E-03
  358 0.1625E-03 0.5377E-03
  359 0.1625E-03 0.5364E-03
  360 0.1624E-03 0.5351E-03
  361 0.1623E-03 0.5337E-03
  362 0.1622E-03 0.5323E-03
  363 0.1620E-03 0.5308E-03
  364 0.1618E-03 0.5292E-03
  365 0.1616E-03 0.5275E-03
  366 0.1615E-03 0.5258E-03
  367 0.1613E-03 0.5240E-03
  368 0.1611E-03 0.5221E-03
  369 0.1609E-03 0.5204E-03
  370 0.1607E-03 0.5189E-03
  371 0.1604E-03 0.5174E-03
  372 0.1601E-03 0.5158E-03
  373 0.1598E-03 0.5141E-03
  374 0.1595E-03 0.5124E-03
  375 0.1591E-03 0.5106E-03
  376 0.1588E-03 0.5088E-03
  377 0.1584E-03 0.5069E-03
  378 0.1580E-03 0.5049E-03
  379 0.1575E-03 0.5029E-03
  380 0.1571E-03 0.5008E-03
  381 0.1566E-03 0.4987E-03
  382 0.1561E-03 0.4965E-03
  383 0.1556E-03 0.4943E-03
  384 0.1551E-03 0.4924E-03
  385 0.1545E-03 0.4904E-03
  386 0.1540E-03 0.4884E-03
  387 0.1534E-03 0.4863E-03
  388 0.1529E-03 0.4842E-03
  389 0.1523E-03 0.4820E-03
  390 0.1517E-03 0.4798E-03
  391 0.1511E-03 0.4775E-03
  392 0.1505E-03 0.4752E-03
  393 0.1499E-03 0.4729E-03
  394 0.1492E-03 0.4705E-03
  395 0.1486E-03 0.4680E-03
  396 0.1479E-03 0.4656E-03
  397 0.1472E-03 0.4631E-03
